phien;xuc_xac_1;xuc_xac_2;xuc_xac_3;tong_diem;ket_qua_that;du_doan;ket_qua_du_doan;tien_cuoc;cua_cuoc
#2095140;4;4;2;10;Xỉu;;;;
#2095141;1;2;1;4;Xỉu;;;;
#2095142;6;2;2;10;Xỉu;;;;
#2095143;1;1;4;6;Xỉu;;;;
#2095144;6;4;1;11;Tài;;;;
#2095145;2;1;2;5;Xỉu;;;;
#2095146;5;6;5;16;Tài;;;;
#2095147;4;2;1;7;Xỉu;;;;
#2095148;5;3;4;12;Tài;;;;
#2095149;6;1;6;13;Tài;;;;
#2095150;4;6;6;16;Tài;;;;
#2095151;5;5;1;11;Tài;;;;
#2095152;6;1;3;10;Xỉu;;;;
#2095153;3;4;6;13;Tài;;;;
#2095154;6;5;4;15;Tài;;;;
#2095155;3;5;6;14;Tài;;;;
#2095156;4;2;2;8;Xỉu;;;;
#2095157;4;6;3;13;Tài;;;;
#2095158;2;4;4;10;Xỉu;;;;
